touch_id,lead_id,campaign_id,touch_date,response,treatment_group
P40052,L10096,CMP001,2010-04-01,No Action,Control
P40053,L10098,CMP001,2010-04-13,Clicked,Control
P40054,L10099,CMP001,2010-03-20,Opened,Control
P40055,L10102,CMP001,2010-04-12,Clicked,Treatment
P40056,L10104,CMP001,2010-04-12,No Action,Control
P40057,L10107,CMP001,2010-04-14,No Action,Treatment
P40058,L10110,CMP001,2010-04-01,No Action,Control
P40059,L10111,CMP001,2010-04-11,Clicked,Treatment
P40060,L10113,CMP001,2010-04-08,Clicked,Treatment
P40061,L10114,CMP001,2010-04-10,Clicked,Treatment
P40062,L10115,CMP001,2010-04-22,Unsubscribed,Control
P40063,L10116,CMP001,2010-04-01,Replied,Treatment
P40064,L10118,CMP001,2010-04-16,Opened,Treatment
P40065,L10120,CMP001,2010-04-10,No Action,Treatment
P40066,L10121,CMP001,2010-04-09,Unsubscribed,Treatment
P40067,L10122,CMP001,2010-04-30,Clicked,Treatment
P40068,L10124,CMP001,2010-04-10,Clicked,Control
P40069,L10127,CMP001,2010-04-09,Clicked,Treatment
P40070,L10131,CMP001,2010-05-02,No Action,Control
P40071,L10132,CMP001,2010-04-27,Unsubscribed,Control
P40072,L10133,CMP001,2010-04-30,Clicked,Control
P40073,L10136,CMP001,2010-04-20,No Action,Control
P40074,L10139,CMP001,2010-04-20,Opened,Control
P40075,L10141,CMP001,2010-04-27,No Action,Control
P40076,L10143,CMP001,2010-04-23,Opened,Control
P40077,L10144,CMP001,2010-04-20,Opened,Treatment
P40078,L10145,CMP001,2010-05-14,Clicked,Treatment
P40079,L10147,CMP001,2010-04-21,No Action,Control
P40080,L10148,CMP001,2010-05-13,No Action,Control
P40081,L10150,CMP001,2010-04-26,No Action,Control
P40082,L10151,CMP001,2010-04-23,Clicked,Treatment
P40083,L10153,CMP001,2010-05-17,Clicked,Treatment
P40084,L10156,CMP001,2010-05-06,Opened,Treatment
P40085,L10158,CMP001,2010-05-15,Clicked,Control
P40086,L10161,CMP001,2010-05-19,Opened,Treatment
P40087,L10169,CMP001,2010-05-05,Clicked,Treatment
P40088,L10170,CMP001,2010-05-06,No Action,Control
P40089,L10173,CMP001,2010-05-24,No Action,Treatment
P40090,L10175,CMP001,2010-05-14,Opened,Control
P40091,L10177,CMP001,2010-05-16,Opened,Treatment
P40092,L10178,CMP001,2010-05-29,Opened,Treatment
P40093,L10180,CMP001,2010-05-20,Opened,Treatment
P40094,L10186,CMP001,2010-05-29,No Action,Treatment
P40095,L10187,CMP001,2010-05-22,Opened,Treatment
P40096,L10188,CMP001,2010-06-11,Opened,Treatment
P40097,L10189,CMP001,2010-06-11,Clicked,Control
P40098,L10192,CMP001,2010-05-26,Replied,Treatment
P40099,L10195,CMP001,2010-05-23,No Action,Control
P40100,L10196,CMP001,2010-06-13,No Action,Control
P40101,L10203,CMP001,2010-06-13,Clicked,Treatment
P40102,L10207,CMP001,2010-06-09,Opened,Control
P40103,L10208,CMP001,2010-06-18,Opened,Treatment
P40104,L10213,CMP001,2010-06-25,No Action,Control
P40105,L10215,CMP001,2010-06-07,No Action,Control
P40106,L10216,CMP001,2010-06-24,No Action,Control
P40107,L10217,CMP001,2010-06-26,Unsubscribed,Control
P40108,L10221,CMP001,2010-06-29,Clicked,Treatment
P40109,L10222,CMP001,2010-06-30,Opened,Control
P40110,L10224,CMP001,2010-06-19,No Action,Treatment
P40111,L10226,CMP001,2010-07-04,No Action,Control
P40112,L10232,CMP001,2010-06-27,No Action,Control
P40113,L10233,CMP001,2010-07-03,No Action,Treatment
P40114,L10237,CMP001,2010-06-27,Opened,Treatment
P40115,L10238,CMP001,2010-07-15,Replied,Control
P40116,L10240,CMP001,2010-07-16,No Action,Control
P40117,L10242,CMP001,2010-07-14,Clicked,Control
P40118,L10243,CMP001,2010-07-18,No Action,Control
P40119,L10244,CMP001,2010-07-06,No Action,Control
P40120,L10246,CMP001,2010-07-17,Clicked,Treatment
P40121,L10251,CMP001,2010-07-06,No Action,Control
P40122,L10255,CMP001,2010-07-04,Opened,Treatment
P40123,L10256,CMP001,2010-07-29,Unsubscribed,Treatment
P40124,L10260,CMP001,2010-07-24,No Action,Control
P40125,L10261,CMP001,2010-07-13,Replied,Control
P40126,L10264,CMP001,2010-08-04,Clicked,Control
P40127,L10266,CMP001,2010-08-03,No Action,Control
P40128,L10267,CMP001,2010-07-24,No Action,Treatment
P40129,L10273,CMP001,2010-07-19,Replied,Treatment
P40130,L10274,CMP001,2010-07-24,No Action,Control
P40131,L10276,CMP001,2010-08-01,Unsubscribed,Control
P40132,L10280,CMP001,2010-07-30,Opened,Treatment
P40133,L10282,CMP001,2010-08-09,Opened,Treatment
P40134,L10285,CMP001,2010-08-18,No Action,Treatment
P40135,L10286,CMP001,2010-07-27,Clicked,Treatment
P40136,L10291,CMP001,2010-08-11,No Action,Control
P40137,L10293,CMP001,2010-08-17,Clicked,Control
P40138,L10297,CMP001,2010-08-20,Opened,Treatment
P40139,L10300,CMP001,2010-08-08,Replied,Treatment
P40140,L10303,CMP001,2010-08-24,Replied,Control
P40141,L10305,CMP001,2010-09-02,No Action,Control
P40142,L10309,CMP001,2010-08-31,No Action,Treatment
P40143,L10314,CMP001,2010-08-20,Replied,Treatment
P40144,L10315,CMP001,2010-08-19,Opened,Treatment
P40145,L10318,CMP001,2010-08-31,No Action,Control
P40146,L10320,CMP001,2010-09-03,No Action,Control
P40147,L10324,CMP001,2010-09-04,Unsubscribed,Control
P40148,L10326,CMP001,2010-09-21,Replied,Treatment
P40149,L10327,CMP001,2010-08-30,Clicked,Treatment
P40150,L10328,CMP001,2010-09-04,Clicked,Treatment
P40151,L10329,CMP001,2010-09-19,Clicked,Control
P40152,L10330,CMP001,2010-09-18,Opened,Treatment
P40153,L10331,CMP001,2010-09-11,No Action,Control
P40154,L10332,CMP001,2010-09-16,No Action,Control
P40155,L10333,CMP001,2010-09-26,Clicked,Treatment
P40156,L10334,CMP001,2010-09-27,No Action,Treatment
P40157,L10336,CMP001,2010-09-13,No Action,Control
P40158,L10338,CMP001,2010-09-19,Clicked,Treatment
P40159,L10343,CMP001,2010-10-03,Opened,Control
P40160,L10346,CMP001,2010-09-20,Opened,Treatment
P40161,L10347,CMP001,2010-09-14,No Action,Control
P40162,L10353,CMP001,2010-10-05,Clicked,Treatment
P40163,L10354,CMP001,2010-10-08,Clicked,Treatment
P40164,L10355,CMP001,2010-10-08,Clicked,Control
P40165,L10356,CMP001,2010-10-10,Opened,Treatment
P40166,L10358,CMP001,2010-10-16,Opened,Treatment
P40167,L10361,CMP001,2010-10-11,No Action,Control
P40168,L10363,CMP001,2010-10-15,Clicked,Treatment
P40169,L10364,CMP001,2010-09-28,Replied,Control
P40170,L10365,CMP001,2010-10-10,Opened,Treatment
P40171,L10367,CMP001,2010-09-29,Replied,Treatment
P40172,L10370,CMP001,2010-10-01,Opened,Control
P40173,L10372,CMP001,2010-10-26,No Action,Control
P40174,L10373,CMP001,2010-10-19,Opened,Treatment
P40175,L10374,CMP001,2010-10-28,No Action,Control
P40176,L10377,CMP001,2010-10-26,No Action,Treatment
P40177,L10378,CMP001,2010-10-30,Replied,Treatment
P40178,L10379,CMP001,2010-10-17,Replied,Control
P40179,L10381,CMP001,2010-10-08,No Action,Control
P40180,L10382,CMP001,2010-10-26,No Action,Control
P40181,L10385,CMP001,2010-10-17,Clicked,Control
P40182,L10387,CMP001,2010-10-23,Clicked,Treatment
P40183,L10390,CMP001,2010-10-30,Replied,Treatment
P40184,L10393,CMP001,2010-11-02,No Action,Control
P40185,L10394,CMP001,2010-10-22,Clicked,Treatment
P40186,L10396,CMP001,2010-10-28,No Action,Treatment
P40187,L10398,CMP001,2010-11-06,No Action,Control
P40188,L10400,CMP001,2010-10-31,No Action,Treatment
P40189,L10402,CMP001,2010-11-08,No Action,Treatment
P40190,L10406,CMP001,2010-10-31,Opened,Control
P40191,L10407,CMP001,2010-11-19,Clicked,Treatment
P40192,L10409,CMP001,2010-11-19,Opened,Control
P40193,L10413,CMP001,2010-11-07,Clicked,Treatment
P40194,L10414,CMP001,2010-11-26,No Action,Control
P40195,L10416,CMP001,2010-11-05,Opened,Treatment
P40196,L10417,CMP001,2010-11-17,No Action,Control
P40197,L10420,CMP001,2010-11-12,Replied,Treatment
P40198,L10424,CMP001,2010-11-29,Replied,Treatment
P40199,L10429,CMP001,2010-11-27,Clicked,Control
P40200,L10431,CMP001,2010-11-20,No Action,Control
P40201,L10432,CMP001,2010-12-08,No Action,Control
P40202,L10433,CMP001,2010-12-09,No Action,Control
P40203,L10434,CMP001,2010-11-18,No Action,Control
P40204,L10435,CMP001,2010-11-19,Opened,Control
P40205,L10437,CMP001,2010-11-29,No Action,Control
P40206,L10440,CMP001,2010-12-13,No Action,Control
P40207,L10446,CMP001,2010-12-07,Opened,Treatment
P40208,L10451,CMP001,2010-12-19,No Action,Control
P40209,L10452,CMP001,2010-12-25,Clicked,Control
P40210,L10460,CMP001,2010-12-25,Unsubscribed,Control
P40211,L10462,CMP001,2010-12-09,Replied,Treatment
P40212,L10464,CMP001,2011-01-03,No Action,Control
P40213,L10465,CMP001,2010-12-27,Clicked,Treatment
P40214,L10466,CMP001,2010-12-23,Opened,Treatment
P40215,L10467,CMP001,2010-12-22,No Action,Treatment
P40216,L10469,CMP001,2011-01-01,No Action,Control
P40217,L10471,CMP001,2011-01-11,Clicked,Treatment
P40218,L10473,CMP001,2010-12-29,No Action,Control
P40219,L10476,CMP001,2011-01-14,Opened,Control
P40220,L10481,CMP001,2011-01-14,Opened,Treatment
P40221,L10484,CMP001,2010-12-27,No Action,Control
P40222,L10485,CMP001,2011-01-08,Unsubscribed,Control
P40223,L10488,CMP001,2011-01-16,No Action,Control
P40224,L10490,CMP001,2011-01-16,Opened,Treatment
P40225,L10492,CMP001,2011-01-26,Replied,Control
P40226,L10495,CMP001,2011-01-22,No Action,Control
P40227,L10496,CMP001,2011-01-11,No Action,Control
P40228,L10498,CMP001,2011-01-28,No Action,Control
P40229,L10500,CMP001,2011-01-22,Opened,Control
P40230,L10501,CMP001,2011-01-18,No Action,Control
P40231,L10504,CMP001,2011-01-29,No Action,Control
P40232,L10505,CMP001,2011-01-22,Opened,Treatment
P40233,L10507,CMP001,2011-01-25,No Action,Control
P40234,L10508,CMP001,2011-01-15,Opened,Control
P40235,L10510,CMP001,2011-01-14,Clicked,Treatment
P40236,L10512,CMP001,2011-01-14,Unsubscribed,Treatment
P40237,L10513,CMP001,2011-01-20,No Action,Control
P40238,L10516,CMP001,2011-01-30,Opened,Treatment
P40239,L10518,CMP001,2011-01-23,Opened,Treatment
P40240,L10521,CMP001,2011-02-13,Opened,Treatment
P40241,L10527,CMP001,2011-02-03,Opened,Treatment
P40242,L10528,CMP001,2011-02-04,Opened,Control
P40243,L10529,CMP001,2011-02-10,Opened,Control
P40244,L10530,CMP001,2011-02-19,Opened,Control
P40245,L10536,CMP001,2011-02-20,Unsubscribed,Control
P40246,L10537,CMP001,2011-02-11,No Action,Control
P40247,L10538,CMP001,2011-02-22,No Action,Control
P40248,L10539,CMP001,2011-02-19,No Action,Control
P40249,L10540,CMP001,2011-02-05,Opened,Control
P40250,L10542,CMP001,2011-02-09,Opened,Control
P40251,L10544,CMP001,2011-02-11,No Action,Treatment
P40252,L10545,CMP001,2011-02-23,No Action,Control
P40253,L10547,CMP001,2011-02-17,Clicked,Treatment
P40254,L10550,CMP001,2011-02-26,No Action,Control
P40255,L10552,CMP001,2011-03-05,Replied,Treatment
P40256,L10554,CMP001,2011-02-26,Opened,Treatment
P40257,L10555,CMP001,2011-02-15,No Action,Control
P40258,L10557,CMP001,2011-03-07,Opened,Treatment
P40259,L10559,CMP001,2011-03-01,No Action,Control
P40260,L10560,CMP001,2011-02-28,Opened,Treatment
P40261,L10561,CMP001,2011-03-07,Opened,Treatment
P40262,L10564,CMP001,2011-02-25,Clicked,Treatment
P40263,L10565,CMP001,2011-02-25,No Action,Control
P40264,L10566,CMP001,2011-03-09,No Action,Control
P40265,L10567,CMP001,2011-03-17,Replied,Treatment
P40266,L10568,CMP001,2011-03-10,Replied,Treatment
P40267,L10570,CMP001,2011-02-25,No Action,Control
P40268,L10572,CMP001,2011-03-19,Replied,Treatment
P40269,L10575,CMP001,2011-03-11,Clicked,Treatment
P40270,L10577,CMP001,2011-03-18,No Action,Control
P40271,L10579,CMP001,2011-03-15,Clicked,Treatment
P40272,L10581,CMP001,2011-03-09,No Action,Control
P40273,L10582,CMP001,2011-03-10,Clicked,Control
P40274,L10585,CMP001,2011-03-08,No Action,Control
P40275,L10587,CMP001,2011-03-26,No Action,Treatment
P40276,L10591,CMP001,2011-04-02,Opened,Control
P40277,L10593,CMP001,2011-03-28,No Action,Control
P40278,L10595,CMP001,2011-04-06,Opened,Treatment
P40279,L10599,CMP001,2011-04-09,No Action,Treatment
P40280,L10604,CMP001,2011-03-20,Unsubscribed,Control
P40281,L10606,CMP001,2011-03-31,No Action,Control
P40282,L10608,CMP001,2011-03-31,Opened,Treatment
P40283,L10611,CMP001,2011-04-11,No Action,Control
P40284,L10612,CMP001,2011-04-16,Clicked,Treatment
P40285,L10613,CMP001,2011-04-12,Opened,Treatment
P40286,L10614,CMP001,2011-04-05,No Action,Control
P40287,L10616,CMP001,2011-04-10,Clicked,Control
P40288,L10617,CMP001,2011-03-29,Opened,Control
P40289,L10618,CMP001,2011-04-06,Replied,Treatment
P40290,L10620,CMP001,2011-04-04,Opened,Treatment
P40291,L10621,CMP001,2011-04-25,Unsubscribed,Treatment
P40292,L10622,CMP001,2011-04-08,Unsubscribed,Treatment
P40293,L10624,CMP001,2011-04-16,No Action,Control
P40294,L10626,CMP001,2011-04-09,Clicked,Treatment
P40295,L10627,CMP001,2011-04-17,Clicked,Treatment
P40296,L10628,CMP001,2011-04-20,No Action,Control
P40297,L10629,CMP001,2011-05-01,Clicked,Treatment
P40298,L10631,CMP001,2011-04-24,Clicked,Treatment
P40299,L10634,CMP001,2011-04-23,No Action,Treatment
P40300,L10638,CMP001,2011-05-09,Replied,Treatment
P40301,L10641,CMP001,2011-04-17,Opened,Treatment
P40302,L10642,CMP001,2011-05-08,Opened,Treatment
P40303,L10643,CMP001,2011-05-04,Unsubscribed,Treatment
P40304,L10646,CMP001,2011-04-29,Opened,Control
P40305,L10648,CMP001,2011-05-07,No Action,Treatment
P40306,L10649,CMP001,2011-05-02,Opened,Control
P40307,L10650,CMP001,2011-05-17,No Action,Control
P40308,L10653,CMP001,2011-04-29,Clicked,Control
P40309,L10655,CMP001,2011-05-02,No Action,Treatment
P40310,L10660,CMP001,2011-05-14,No Action,Control
P40311,L10662,CMP001,2011-05-12,No Action,Control
P40312,L10663,CMP001,2011-05-03,Opened,Treatment
P40313,L10664,CMP001,2011-05-23,Clicked,Treatment
P40314,L10666,CMP001,2011-05-27,Clicked,Control
P40315,L10667,CMP001,2011-05-17,Unsubscribed,Control
P40316,L10673,CMP001,2011-05-24,Clicked,Treatment
P40317,L10675,CMP001,2011-06-05,Replied,Control
P40318,L10676,CMP001,2011-06-01,Clicked,Treatment
P40319,L10679,CMP001,2011-06-03,Replied,Treatment
P40320,L10680,CMP001,2011-06-07,Clicked,Treatment
P40321,L10681,CMP001,2011-06-04,Opened,Control
P40322,L10683,CMP001,2011-05-23,Clicked,Treatment
P40323,L10685,CMP001,2011-05-23,Unsubscribed,Control
P40324,L10688,CMP001,2011-06-06,Clicked,Control
P40325,L10692,CMP001,2011-06-12,No Action,Control
P40326,L10693,CMP001,2011-06-06,Opened,Control
P40327,L10694,CMP001,2011-06-05,Opened,Control
P40328,L10695,CMP001,2011-05-29,Unsubscribed,Control
P40329,L10698,CMP001,2011-06-17,No Action,Control
P40330,L10699,CMP001,2011-06-19,No Action,Control
P40331,L10700,CMP001,2011-06-17,Clicked,Control
P40332,L10703,CMP001,2011-06-10,No Action,Treatment
P40333,L10706,CMP001,2011-06-19,No Action,Control
P40334,L10709,CMP001,2011-06-27,No Action,Control
P40335,L10711,CMP001,2011-07-02,Unsubscribed,Control
P40336,L10712,CMP001,2011-06-15,Clicked,Control
P40337,L10715,CMP001,2011-06-16,No Action,Treatment
P40338,L10716,CMP001,2011-07-05,Opened,Control
P40339,L10719,CMP001,2011-07-06,Opened,Control
P40340,L10721,CMP001,2011-06-17,Opened,Treatment
P40341,L10723,CMP001,2011-07-03,Opened,Treatment
P40342,L10724,CMP001,2011-06-22,Clicked,Treatment
P40343,L10727,CMP001,2011-07-07,No Action,Control
P40344,L10731,CMP001,2011-07-13,Opened,Treatment
P40345,L10733,CMP001,2011-07-17,Opened,Control
P40346,L10739,CMP001,2011-07-13,Clicked,Treatment
P40347,L10740,CMP001,2011-07-17,No Action,Treatment
P40348,L10741,CMP001,2011-07-19,Clicked,Treatment
P40349,L10742,CMP001,2011-07-20,No Action,Control
P40350,L10751,CMP001,2011-07-23,No Action,Control
P40351,L10752,CMP001,2011-07-18,Clicked,Treatment
P40352,L10753,CMP001,2011-07-11,Opened,Control
P40353,L10754,CMP001,2011-07-22,No Action,Control
P40354,L10761,CMP001,2011-07-29,No Action,Control
P40355,L10762,CMP001,2011-08-05,No Action,Control
P40356,L10764,CMP001,2011-07-18,Clicked,Treatment
P40357,L10767,CMP001,2011-07-21,Opened,Control
P40358,L10768,CMP001,2011-07-31,Clicked,Treatment
P40359,L10775,CMP001,2011-07-29,Clicked,Control
P40360,L10776,CMP001,2011-07-31,Opened,Treatment
P40361,L10777,CMP001,2011-08-11,Opened,Treatment
P40362,L10780,CMP001,2011-08-20,Clicked,Control
P40363,L10781,CMP001,2011-08-09,No Action,Control
P40364,L10782,CMP001,2011-08-08,Clicked,Treatment
P40365,L10785,CMP001,2011-08-12,No Action,Control
P40366,L10787,CMP001,2011-08-16,Unsubscribed,Control
P40367,L10788,CMP001,2011-08-19,Opened,Treatment
P40368,L10792,CMP001,2011-08-23,Opened,Control
P40369,L10796,CMP001,2011-08-21,Opened,Treatment
P40370,L10798,CMP001,2011-08-16,Opened,Treatment
P40371,L10801,CMP001,2011-09-02,No Action,Treatment
P40372,L10802,CMP001,2011-08-27,Opened,Control
P40373,L10804,CMP001,2011-09-04,No Action,Treatment
P40374,L10809,CMP001,2011-08-19,No Action,Control
P40375,L10810,CMP001,2011-09-05,Unsubscribed,Control
P40376,L10812,CMP001,2011-08-29,Replied,Treatment
P40377,L10814,CMP001,2011-09-05,Opened,Control
P40378,L10816,CMP001,2011-08-21,Clicked,Treatment
P40379,L10817,CMP001,2011-08-24,Replied,Control
P40380,L10818,CMP001,2011-08-27,No Action,Control
P40381,L10819,CMP001,2011-09-02,Unsubscribed,Treatment
P40382,L10820,CMP001,2011-08-31,Replied,Treatment
P40383,L10821,CMP001,2011-08-25,Clicked,Treatment
P40384,L10822,CMP001,2011-09-19,Opened,Treatment
P40385,L10823,CMP001,2011-09-12,Clicked,Treatment
P40386,L10825,CMP001,2011-09-08,Clicked,Treatment
P40387,L10826,CMP001,2011-09-14,No Action,Control
P40388,L10827,CMP001,2011-09-17,No Action,Control
P40389,L10829,CMP001,2011-09-04,No Action,Control
P40390,L10838,CMP001,2011-09-17,Clicked,Control
P40391,L10839,CMP001,2011-09-23,Replied,Treatment
P40392,L10840,CMP001,2011-09-08,Replied,Treatment
P40393,L10842,CMP001,2011-09-24,Opened,Treatment
P40394,L10843,CMP001,2011-10-02,Opened,Treatment
P40395,L10844,CMP001,2011-09-24,Replied,Treatment
P40396,L10846,CMP001,2011-10-03,No Action,Treatment
P40397,L10848,CMP001,2011-09-19,Clicked,Treatment
P40398,L10849,CMP001,2011-09-28,No Action,Control
P40399,L10851,CMP001,2011-09-25,Opened,Treatment
P40400,L10853,CMP001,2011-09-15,Opened,Treatment
P40401,L10855,CMP001,2011-09-28,No Action,Control
P40402,L10856,CMP001,2011-09-24,Clicked,Treatment
P40403,L10857,CMP001,2011-09-28,No Action,Control
P40404,L10859,CMP001,2011-10-09,Opened,Control
P40405,L10860,CMP001,2011-10-08,No Action,Treatment
P40406,L10861,CMP001,2011-10-09,Replied,Treatment
P40407,L10864,CMP001,2011-10-13,Opened,Treatment
P40408,L10865,CMP001,2011-10-06,No Action,Control
P40409,L10866,CMP001,2011-10-11,Opened,Treatment
P40410,L10869,CMP001,2011-10-09,No Action,Control
P40411,L10873,CMP001,2011-10-15,No Action,Treatment
P40412,L10874,CMP001,2011-10-15,No Action,Control
P40413,L10876,CMP001,2011-10-23,Unsubscribed,Control
P40414,L10877,CMP001,2011-10-27,Clicked,Treatment
P40415,L10880,CMP001,2011-10-19,No Action,Control
P40416,L10893,CMP001,2011-10-31,Opened,Control
P40417,L10894,CMP001,2011-11-01,Opened,Treatment
P40418,L10896,CMP001,2011-10-27,Unsubscribed,Control
P40419,L10897,CMP001,2011-11-07,No Action,Control
P40420,L10901,CMP001,2011-10-23,Replied,Treatment
P40421,L10911,CMP001,2011-11-01,No Action,Control
P40422,L10912,CMP001,2011-11-01,Replied,Control
P40423,L10914,CMP001,2011-11-02,Opened,Treatment
P40424,L10916,CMP001,2011-11-14,Replied,Control
P40425,L10917,CMP001,2011-11-26,Clicked,Control
P40426,L10919,CMP001,2011-11-25,No Action,Control
P40427,L10920,CMP001,2011-11-12,Opened,Treatment
P40428,L10924,CMP001,2011-11-19,Opened,Treatment
P40429,L10925,CMP001,2011-11-30,Clicked,Control
P40430,L10927,CMP001,2011-11-10,Opened,Treatment
P40431,L10928,CMP001,2011-11-27,Replied,Treatment
P40432,L10929,CMP001,2011-11-18,No Action,Control
P40433,L10934,CMP001,2011-11-18,Replied,Treatment
P40434,L10935,CMP001,2011-12-04,Opened,Control
P40435,L10940,CMP001,2011-11-30,No Action,Control
P40436,L10942,CMP001,2011-12-07,Opened,Control
P40437,L10943,CMP001,2011-12-10,No Action,Control
P40438,L10945,CMP001,2011-11-21,Clicked,Control
P40439,L10948,CMP001,2011-11-22,No Action,Treatment
P40440,L10949,CMP001,2011-11-25,Opened,Treatment
P40441,L10955,CMP001,2011-12-09,No Action,Control
P40442,L10959,CMP001,2011-12-07,Opened,Treatment
P40443,L10961,CMP001,2011-12-26,Clicked,Treatment
P40444,L10962,CMP001,2011-12-22,No Action,Control
P40445,L10963,CMP001,2011-12-14,Opened,Treatment
P40446,L10965,CMP001,2011-12-11,No Action,Control
P40447,L10966,CMP001,2011-12-28,Opened,Treatment
P40448,L10970,CMP001,2011-12-29,Clicked,Treatment
P40449,L10974,CMP001,2011-12-29,Replied,Control
P40450,L10975,CMP001,2011-12-18,Clicked,Control
P40451,L10980,CMP001,2012-01-08,Clicked,Treatment
P40452,L10981,CMP001,2011-12-28,Replied,Treatment
P40453,L10982,CMP001,2012-01-02,Opened,Treatment
P40454,L10984,CMP001,2012-01-11,No Action,Control
P40455,L10989,CMP001,2012-01-12,No Action,Control
P40456,L10990,CMP001,2011-12-29,Clicked,Control
P40457,L10991,CMP001,2012-01-08,Clicked,Control
P40458,L10993,CMP001,2012-01-16,No Action,Control
P40459,L10994,CMP001,2012-01-15,Opened,Treatment
P40460,L10995,CMP001,2012-01-09,Replied,Treatment
P40461,L10997,CMP001,2012-01-13,No Action,Control
P40462,L10998,CMP001,2012-01-02,Opened,Treatment
P40463,L10999,CMP001,2012-01-12,Opened,Control
P40464,L11000,CMP001,2012-01-15,Clicked,Treatment
P40465,L11002,CMP001,2012-01-05,No Action,Control
P40466,L11005,CMP001,2012-01-07,Opened,Treatment
P40467,L11012,CMP001,2012-02-02,No Action,Control
P40468,L11013,CMP001,2012-01-24,No Action,Treatment
P40469,L11017,CMP001,2012-01-18,No Action,Control
P40470,L11020,CMP001,2012-02-08,Clicked,Treatment
P40471,L11021,CMP001,2012-02-03,No Action,Control
P40472,L11023,CMP001,2012-02-09,No Action,Control
P40473,L11024,CMP001,2012-01-19,Replied,Control
P40474,L11030,CMP001,2012-01-24,Replied,Treatment
P40475,L11036,CMP001,2012-01-30,No Action,Treatment
P40476,L11037,CMP001,2012-02-06,No Action,Control
P40477,L11046,CMP001,2012-02-02,No Action,Control
P40478,L11048,CMP001,2012-02-15,No Action,Control
P40479,L11049,CMP001,2012-02-27,Opened,Treatment
P40480,L11051,CMP001,2012-02-12,Clicked,Treatment
P40481,L11053,CMP001,2012-02-12,No Action,Control
P40482,L11057,CMP001,2012-02-14,Opened,Treatment
P40483,L11058,CMP001,2012-02-10,Unsubscribed,Treatment
P40484,L11059,CMP001,2012-02-15,No Action,Control
P40485,L11061,CMP001,2012-03-05,Opened,Treatment
P40486,L11063,CMP001,2012-03-03,Unsubscribed,Treatment
P40487,L11064,CMP001,2012-03-03,No Action,Control
P40488,L11065,CMP001,2012-02-22,No Action,Treatment
P40489,L11066,CMP001,2012-02-19,No Action,Treatment
P40490,L11068,CMP001,2012-03-12,Unsubscribed,Treatment
