activity_id,lead_id,activity_date,activity_type,channel,outcome
T30119,L10025,2010-04-29,Email,LinkedIn,Neutral
T30120,L99999,2010-03-14,Website Visit,Phone,Positive
T30121,L10026,2010-04-14,Call,LinkedIn,Positive
T30122,L10026,2010-03-03,Meeting,LinkedIn,Neutral
T30123,L10027,2010-03-22,Demo,LinkedIn,No Response
T30124,L10027,2010-04-01,Meeting,Phone,Neutral
T30125,L10027,2010-05-10,Call,In-person,Negative
T30126,L10027,2010-05-18,Call,Email,Positive
T30127,L10027,2010-03-28,Email,Email,Positive
T30128,L10027,2010-04-11,Email,In-person,Negative
T30129,L10028,2010-03-19,Email,Phone,No Response
T30130,L10028,2010-04-07,Call,Email,No Response
T30131,L10028,2010-01-27,Call,In-person,Negative
T30132,L10028,2010-03-05,Demo,Phone,Positive
T30133,L10028,2010-03-01,Call,Email,Positive
T30134,L10028,2010-03-03,Call,LinkedIn,No Response
T30135,L10028,2010-05-16,Demo,LinkedIn,Positive
T30136,L10029,2010-03-25,Demo,Phone,No Response
T30137,L10029,2010-04-17,Demo,Phone,No Response
T30138,L10029,2010-04-25,Call,Phone,Negative
T30139,L10029,2010-03-09,Demo,In-person,Neutral
T30140,L10029,2010-03-29,Meeting,LinkedIn,Positive
T30141,L10029,2010-03-11,Demo,Email,Neutral
T30142,L10030,2010-04-15,Call,Phone,No Response
T30143,L10030,2010-04-01,Email,Email,Positive
T30144,L10030,2010-03-09,Website Visit,Phone,Positive
T30145,L10031,2010-04-21,Website Visit,Email,Negative
T30146,L10031,2010-03-27,Demo,Phone,Positive
T30147,L10031,2010-05-04,Meeting,Email,No Response
T30148,L10031,2010-04-24,Email,LinkedIn,Positive
T30149,L10031,2010-04-23,Call,LinkedIn,Positive
T30150,L10032,2010-02-08,Meeting,LinkedIn,Positive
T30151,L10032,2010-02-15,Email,In-person,No Response
T30152,L10032,2010-03-29,Meeting,Phone,Positive
T30153,L10032,2010-03-14,Demo,Phone,Negative
T30154,L10032,2010-03-24,Email,Phone,Positive
T30155,L10032,2010-05-24,Website Visit,Email,Positive
T30156,L10033,2010-03-23,Call,LinkedIn,Neutral
T30157,L10033,2010-03-11,Website Visit,In-person,No Response
T30158,L10033,2010-02-05,Call,In-person,Negative
T30159,L10033,2010-04-05,Demo,Phone,No Response
T30160,L10033,2010-04-09,Demo,In-person,Positive
T30161,L10033,2010-03-07,Demo,Phone,No Response
T30162,L10033,2010-04-10,Call,LinkedIn,Negative
T30163,L10033,2010-04-09,Meeting,Email,No Response
T30164,L10034,2010-03-19,Call,LinkedIn,Positive
T30165,L10034,2010-05-26,Call,LinkedIn,Neutral
T30166,L10034,2010-03-16,Demo,In-person,Neutral
T30167,L10034,2010-03-09,Demo,Email,Positive
T30168,L10034,2010-05-03,Website Visit,Email,Neutral
T30169,L10034,2010-03-12,Demo,Email,Positive
T30170,L10034,2010-01-29,Call,LinkedIn,Neutral
T30171,L10035,2010-03-28,Call,Phone,Positive
T30172,L10035,2010-02-02,Demo,LinkedIn,No Response
T30173,L10035,2010-03-28,Demo,Email,No Response
T30174,L10035,2010-02-19,Demo,LinkedIn,Neutral
T30175,L10035,2010-05-04,Website Visit,Phone,No Response
T30176,L10035,2010-02-12,Demo,LinkedIn,No Response
T30177,L10036,2010-02-21,Demo,Phone,No Response
T30178,L10036,2010-04-26,Call,In-person,Positive
T30179,L10036,2010-05-16,Call,In-person,Negative
T30180,L10036,2010-03-24,Demo,Phone,Positive
T30181,L10036,2010-05-10,Meeting,In-person,Neutral
T30182,L10036,2010-03-04,Meeting,In-person,Neutral
T30183,L10036,2010-05-19,Demo,LinkedIn,Neutral
T30184,L10036,2010-04-15,Website Visit,Email,Neutral
T30185,L10037,2010-01-29,Website Visit,Phone,Negative
T30186,L10037,2010-04-19,Email,Phone,Neutral
T30187,L10037,2010-04-07,Call,LinkedIn,Positive
T30188,L10037,2010-05-21,Website Visit,LinkedIn,Neutral
T30189,L10037,2010-04-06,Demo,LinkedIn,Negative
T30190,L10038,2010-04-05,Email,In-person,Negative
T30191,L10038,2010-03-21,Meeting,In-person,Positive
T30192,L10038,2010-03-23,Email,Phone,No Response
T30193,L10038,2010-03-03,Website Visit,In-person,Positive
T30194,L10039,2010-03-23,Website Visit,Email,Positive
T30195,L10039,2010-02-23,Meeting,In-person,Negative
T30196,L10039,2010-05-24,Demo,Email,Negative
T30197,L10039,2010-04-20,Meeting,Phone,Neutral
T30198,L10040,2010-05-01,Website Visit,LinkedIn,Neutral
T30199,L10040,2010-02-08,Demo,LinkedIn,Positive
T30200,L10040,2010-04-05,Meeting,Email,Neutral
T30201,L10040,2010-05-07,Email,In-person,Positive
T30202,L10040,2010-03-29,Email,LinkedIn,Negative
T30203,L10040,2010-05-11,Website Visit,Phone,Negative
T30204,L10040,2010-03-11,Demo,In-person,No Response
T30205,L10041,2010-05-15,Demo,Email,Neutral
T30206,L10041,2010-05-29,Call,In-person,Positive
T30207,L10041,2010-03-10,Website Visit,In-person,No Response
T30208,L10041,2010-04-17,Demo,LinkedIn,Positive
T30209,L10041,2010-03-09,Email,Email,Neutral
T30210,L10041,2010-04-19,Meeting,In-person,Negative
T30211,L10042,2010-03-23,Website Visit,LinkedIn,Positive
T30212,L10042,2010-02-17,Email,Phone,Negative
T30213,L10042,2010-06-01,Website Visit,In-person,Neutral
T30214,L10042,2010-02-25,Demo,LinkedIn,Neutral
T30215,L10042,2010-03-30,Demo,In-person,Positive
T30216,L10042,2010-05-14,Email,In-person,Negative
T30217,L10042,2010-02-24,Email,Email,Positive
T30218,L10043,2010-04-19,Meeting,Email,No Response
T30219,L10043,2010-04-16,Call,LinkedIn,Negative
T30220,L10043,2010-02-04,Meeting,Email,Positive
T30221,L10044,2010-04-21,Email,Email,No Response
T30222,L10044,2010-05-13,Meeting,Email,No Response
T30223,L10044,2010-05-08,Call,LinkedIn,No Response
T30224,L10044,2010-04-06,Email,Phone,No Response
T30225,L10045,2010-03-27,Website Visit,In-person,Neutral
T30226,L10045,2010-04-27,Meeting,Phone,No Response
T30227,L10045,2010-06-04,Demo,Phone,Positive
T30228,L10045,2010-04-07,Demo,Phone,Positive
T30229,L10045,2010-05-13,Meeting,LinkedIn,No Response
T30230,L10045,2010-04-11,Email,Phone,Positive
T30231,L10045,2010-02-08,Email,LinkedIn,Negative
T30232,L10046,2010-05-16,Email,Email,Positive
T30233,L10046,2010-02-17,Demo,Phone,No Response
T30234,L10046,2010-04-19,Website Visit,Email,Neutral
T30235,L10046,2010-02-14,Website Visit,Phone,Positive
T30236,L10047,2010-04-05,Email,LinkedIn,No Response
T30237,L10047,2010-03-17,Call,Phone,Negative
T30238,L10047,2010-04-23,Email,Email,No Response
T30239,L10047,2010-06-05,Demo,LinkedIn,Negative
T30240,L10048,2010-04-16,Meeting,In-person,Positive
T30241,L10048,2010-05-28,Email,LinkedIn,Neutral
T30242,L10049,2010-03-20,Call,In-person,Positive
T30243,L10049,2010-04-22,Email,In-person,No Response
T30244,L10049,2010-02-13,Meeting,In-person,No Response
T30245,L10049,2010-05-26,Meeting,Phone,No Response
T30246,L10050,2010-06-06,Meeting,In-person,Positive
T30247,L10051,2010-05-18,Meeting,In-person,Neutral
T30248,L10051,2010-05-21,Website Visit,LinkedIn,Neutral
T30249,L10051,2010-05-20,Meeting,Phone,Neutral
T30250,L10051,2010-03-22,Website Visit,Phone,Neutral
T30251,L10051,2010-03-16,Demo,LinkedIn,Negative
T30252,L10052,2010-06-01,Demo,Phone,Neutral
T30253,L10052,2010-05-17,Email,LinkedIn,Positive
T30254,L10052,2010-06-09,Meeting,Email,Negative
T30255,L10053,2010-04-27,Meeting,LinkedIn,Neutral
T30256,L10053,2010-04-03,Email,Email,No Response
T30257,L99999,2010-04-17,Call,In-person,Negative
T30258,L10053,2010-06-08,Website Visit,Phone,Positive
T30259,L10053,2010-03-31,Meeting,LinkedIn,Neutral
T30260,L10054,2010-04-12,Demo,Email,Positive
T30261,L10054,2010-03-10,Website Visit,Email,Positive
T30262,L10054,2010-05-10,Website Visit,In-person,Neutral
T30263,L10055,2010-03-26,Email,Email,Positive
T30264,L10055,2010-06-01,Call,Email,Positive
T30265,L10055,2010-03-26,Website Visit,Email,Neutral
T30266,L10055,2010-05-18,Meeting,In-person,Positive
T30267,L10056,2010-04-24,Website Visit,In-person,Neutral
T30268,L10056,2010-05-03,Email,In-person,No Response
T30269,L10056,2010-04-17,Website Visit,LinkedIn,Positive
T30270,L10056,2010-05-28,Meeting,Phone,Neutral
T30271,L10056,2010-02-23,Email,Phone,Positive
T30272,L10056,2010-05-31,Call,LinkedIn,Positive
T30273,L10057,2010-05-10,Call,In-person,Positive
T30274,L10057,2010-06-03,Demo,LinkedIn,Neutral
T30275,L10057,2010-03-23,Call,Email,No Response
T30276,L10057,2010-03-25,Email,Phone,No Response
T30277,L10057,2010-06-08,Demo,Phone,Positive
T30278,L10057,2010-05-12,Website Visit,Email,Negative
T30279,L10057,2010-04-04,Meeting,Email,Negative
T30280,L10057,2010-03-20,Demo,In-person,Neutral
T30281,L10057,2010-03-17,Call,LinkedIn,Positive
T30282,L10058,2010-05-27,Meeting,LinkedIn,Neutral
T30283,L10058,2010-05-28,Meeting,In-person,Negative
T30284,L10058,2010-03-01,Demo,In-person,Neutral
T30285,L10058,2010-04-21,Meeting,In-person,Positive
T30286,L10059,2010-05-20,Meeting,In-person,Neutral
T30287,L10059,2010-05-18,Call,LinkedIn,Negative
T30288,L10059,2010-05-05,Demo,In-person,Neutral
T30289,L10059,2010-05-09,Meeting,In-person,Neutral
T30290,L10059,2010-05-25,Meeting,Email,No Response
T30291,L10059,2010-04-24,Meeting,In-person,Negative
T30292,L10060,2010-03-03,Call,In-person,No Response
T30293,L10060,2010-03-12,Meeting,In-person,Negative
T30294,L10060,2010-03-30,Demo,LinkedIn,Positive
T30295,L10061,2010-04-08,Email,In-person,Neutral
T30296,L10061,2010-06-08,Demo,Phone,No Response
T30297,L10061,2010-03-10,Meeting,LinkedIn,Positive
T30298,L10061,2010-05-30,Demo,Email,Negative
T30299,L10061,2010-06-14,Meeting,Phone,Neutral
T30300,L10061,2010-05-19,Demo,In-person,No Response
T30301,L10062,2010-05-13,Meeting,Email,No Response
T30302,L10062,2010-05-30,Website Visit,Phone,Positive
T30303,L10062,2010-02-21,Demo,In-person,Positive
T30304,L10062,2010-03-17,Website Visit,In-person,Positive
T30305,L10063,2010-05-07,Email,In-person,Positive
T30306,L10063,2010-02-24,Call,In-person,Positive
T30307,L10063,2010-05-17,Call,Phone,Negative
T30308,L10063,2010-03-07,Demo,Phone,Positive
T30309,L10063,2010-05-02,Demo,LinkedIn,No Response
T30310,L10063,2010-05-11,Email,Email,Negative
T30311,L10064,2010-03-04,Meeting,In-person,No Response
T30312,L10064,2010-05-19,Call,Phone,Positive
T30313,L10064,2010-05-06,Call,LinkedIn,Positive
T30314,L10064,2010-03-27,Website Visit,In-person,Negative
T30315,L10065,2010-03-28,Call,LinkedIn,Neutral
T30316,L10065,2010-04-14,Email,Email,Neutral
T30317,L10065,2010-03-30,Website Visit,Phone,Neutral
T30318,L10065,2010-03-08,Call,In-person,Positive
T30319,L10065,2010-05-24,Meeting,Email,Positive
T30320,L10065,2010-05-13,Meeting,LinkedIn,Neutral
T30321,L10065,2010-02-26,Meeting,Phone,Positive
T30322,L10065,2010-06-12,Website Visit,In-person,Positive
T30323,L10065,2010-04-21,Demo,Phone,No Response
T30324,L10065,2010-06-13,Demo,Phone,Neutral
T30325,L10065,2010-05-04,Website Visit,In-person,Negative
T30326,L10066,2010-05-05,Meeting,LinkedIn,Negative
T30327,L10066,2010-05-04,Meeting,LinkedIn,Neutral
T30328,L10066,2010-05-23,Call,LinkedIn,Positive
T30329,L10066,2010-06-12,Call,Phone,Neutral
T30330,L10066,2010-05-05,Demo,In-person,Neutral
T30331,L10066,2010-06-17,Meeting,In-person,Neutral
T30332,L10066,2010-05-03,Demo,Phone,Negative
T30333,L10066,2010-03-19,Call,Email,Negative
T30334,L10067,2010-02-23,Meeting,Phone,Positive
T30335,L10067,2010-04-04,Email,LinkedIn,Positive
T30336,L10067,2010-06-12,Demo,Phone,Positive
T30337,L10067,2010-04-20,Meeting,Phone,Neutral
T30338,L10068,2010-05-25,Website Visit,Email,Positive
T30339,L10068,2010-03-16,Call,Email,Positive
T30340,L10068,2010-05-04,Email,Phone,No Response
T30341,L10069,2010-03-28,Meeting,Email,No Response
T30342,L10069,2010-05-03,Meeting,Phone,Positive
T30343,L10069,2010-06-05,Demo,LinkedIn,Neutral
T30344,L10069,2010-03-13,Meeting,Phone,No Response
T30345,L10069,2010-06-01,Call,In-person,Negative
T30346,L10069,2010-05-13,Email,Email,Positive
T30347,L10069,2010-02-23,Demo,Email,Neutral
T30348,L10069,2010-05-21,Meeting,Phone,Neutral
T30349,L10070,2010-05-01,Website Visit,LinkedIn,No Response
T30350,L10070,2010-05-03,Website Visit,Phone,Positive
T30351,L10070,2010-02-22,Meeting,In-person,Neutral
T30352,L10070,2010-05-23,Demo,LinkedIn,Neutral
T30353,L10071,2010-05-12,Email,In-person,Positive
T30354,L10071,2010-05-10,Meeting,In-person,Negative
T30355,L10072,2010-05-23,Email,Email,Negative
T30356,L10072,2010-04-20,Email,In-person,Neutral
T30357,L10072,2010-06-22,Meeting,Phone,No Response
T30358,L10072,2010-06-09,Call,Email,Positive
T30359,L10072,2010-05-02,Email,LinkedIn,Negative
T30360,L10072,2010-03-14,Website Visit,Email,Negative
T30361,L10072,2010-06-02,Demo,Phone,Positive
T30362,L10073,2010-05-10,Website Visit,LinkedIn,Positive
T30363,L10073,2010-03-09,Meeting,Phone,Positive
T30364,L10073,2010-05-10,Demo,In-person,No Response
T30365,L10074,2010-04-04,Call,In-person,Positive
T30366,L10074,2010-03-06,Email,LinkedIn,Neutral
T30367,L10074,2010-05-24,Meeting,Email,Positive
T30368,L10074,2010-06-19,Call,LinkedIn,Neutral
T30369,L10075,2010-06-09,Call,Phone,Neutral
T30370,L10075,2010-03-07,Call,Phone,Neutral
T30371,L10075,2010-05-24,Email,Phone,Negative
T30372,L10075,2010-05-09,Email,Phone,Positive
T30373,L10075,2010-04-06,Website Visit,LinkedIn,Positive
T30374,L10076,2010-05-17,Website Visit,Phone,Positive
T30375,L10076,2010-05-26,Website Visit,LinkedIn,No Response
T30376,L10076,2010-03-10,Meeting,Email,Negative
T30377,L10076,2010-04-14,Website Visit,In-person,No Response
T30378,L10076,2010-02-26,Website Visit,Email,No Response
T30379,L10076,2010-03-15,Meeting,In-person,Neutral
T30380,L10076,2010-03-24,Call,LinkedIn,No Response
T30381,L10076,2010-05-17,Demo,Email,Neutral
T30382,L10077,2010-04-23,Email,Phone,Negative
T30383,L10077,2010-06-11,Call,LinkedIn,Positive
T30384,L10077,2010-05-21,Meeting,LinkedIn,Positive
T30385,L10077,2010-04-03,Call,In-person,Positive
T30386,L10078,2010-05-10,Demo,Email,Negative
T30387,L10078,2010-05-10,Email,In-person,Neutral
T30388,L10078,2010-06-08,Call,Email,Negative
T30389,L10078,2010-05-24,Meeting,Phone,Positive
T30390,L10079,2010-04-28,Website Visit,Email,No Response
T30391,L10079,2010-05-12,Demo,LinkedIn,Positive
T30392,L10079,2010-04-16,Email,Email,Neutral
T30393,L10080,2010-06-01,Meeting,Email,Positive
T30394,L10080,2010-06-28,Email,Email,Positive
T30395,L10080,2010-04-20,Email,LinkedIn,Positive
T30396,L10080,2010-03-03,Demo,In-person,Negative
T30397,L10080,2010-03-31,Email,In-person,Positive
T30398,L10081,2010-04-20,Meeting,Email,Positive
T30399,L10081,2010-04-03,Call,Phone,No Response
T30400,L10081,2010-03-12,Meeting,Phone,Positive
T30401,L10081,2010-04-02,Meeting,In-person,Neutral
T30402,L10081,2010-03-31,Meeting,Phone,Positive
T30403,L10081,2010-04-23,Demo,Email,Negative
T30404,L10082,2010-04-23,Meeting,In-person,Positive
T30405,L10082,2010-06-20,Call,Phone,No Response
T30406,L10082,2010-04-06,Website Visit,In-person,Neutral
T30407,L10082,2010-06-23,Demo,LinkedIn,Negative
T30408,L10082,2010-04-01,Website Visit,LinkedIn,Negative
T30409,L10083,2010-04-03,Meeting,In-person,Positive
T30410,L10083,2010-05-13,Demo,Phone,Neutral
T30411,L10083,2010-04-03,Meeting,Phone,Negative
T30412,L10083,2010-03-25,Meeting,In-person,Neutral
T30413,L10083,2010-05-29,Website Visit,Phone,Neutral
T30414,L10084,2010-04-10,Email,LinkedIn,No Response
T30415,L10084,2010-03-12,Demo,Phone,Neutral
T30416,L10084,2010-06-04,Meeting,In-person,No Response
T30417,L10084,2010-07-01,Call,Phone,Negative
T30418,L10084,2010-04-13,Demo,In-person,No Response
T30419,L10085,2010-07-03,Website Visit,Phone,Positive
T30420,L10085,2010-03-05,Email,Phone,Positive
T30421,L10085,2010-05-03,Meeting,Phone,No Response
T30422,L10085,2010-06-16,Call,Email,No Response
T30423,L10085,2010-03-28,Demo,In-person,No Response
T30424,L10086,2010-03-22,Meeting,Phone,No Response
T30425,L10086,2010-03-15,Demo,LinkedIn,No Response
T30426,L10086,2010-05-01,Call,LinkedIn,Neutral
T30427,L10086,2010-05-03,Website Visit,Email,Positive
T30428,L10086,2010-06-15,Website Visit,In-person,No Response
T30429,L10086,2010-04-05,Demo,LinkedIn,Neutral
T30430,L10086,2010-04-09,Call,Phone,Positive
T30431,L10086,2010-06-12,Call,LinkedIn,Positive
T30432,L10086,2010-06-25,Website Visit,In-person,Positive
T30433,L10087,2010-06-19,Email,In-person,Negative
T30434,L10087,2010-05-09,Meeting,Email,Neutral
T30435,L10087,2010-05-02,Demo,Email,No Response
T30436,L10087,2010-06-18,Meeting,In-person,Positive
T30437,L10087,2010-03-27,Meeting,Email,Positive
T30438,L10087,2010-05-28,Website Visit,Phone,No Response
T30439,L10088,2010-04-01,Website Visit,Email,Positive
T30440,L10088,2010-07-03,Meeting,In-person,Neutral
T30441,L10088,2010-04-16,Website Visit,Email,No Response
T30442,L10088,2010-05-11,Email,Email,Neutral
T30443,L10089,2010-06-02,Website Visit,Email,Positive
T30444,L10089,2010-04-17,Call,Phone,Positive
T30445,L10089,2010-04-15,Demo,Email,Neutral
T30446,L10089,2010-04-26,Call,Phone,Neutral
T30447,L10089,2010-06-25,Website Visit,LinkedIn,Neutral
T30448,L10089,2010-03-25,Website Visit,LinkedIn,No Response
T30449,L10089,2010-03-10,Email,Phone,Neutral
T30450,L10090,2010-05-29,Website Visit,In-person,Negative
T30451,L10090,2010-03-11,Email,Email,No Response
T30452,L10090,2010-06-07,Meeting,In-person,Neutral
T30453,L10090,2010-05-06,Call,In-person,No Response
T30454,L10090,2010-04-08,Demo,Email,No Response
T30455,L10090,2010-07-02,Email,LinkedIn,Neutral
T30456,L10090,2010-04-18,Meeting,Phone,No Response
T30457,L10090,2010-03-22,Website Visit,Email,Negative
T30458,L10090,2010-04-19,Meeting,Email,No Response
T30459,L10090,2010-03-28,Call,LinkedIn,Neutral
T30460,L10090,2010-06-24,Email,In-person,Negative
T30461,L10091,2010-04-14,Call,Email,Positive
T30462,L10091,2010-06-10,Website Visit,In-person,No Response
T30463,L10091,2010-05-23,Meeting,LinkedIn,No Response
T30464,L10091,2010-06-12,Meeting,Phone,Positive
T30465,L10091,2010-06-22,Demo,In-person,Positive
T30466,L10092,2010-06-21,Website Visit,Phone,Negative
T30467,L10092,2010-06-21,Call,LinkedIn,Positive
T30468,L10092,2010-04-24,Email,Email,Positive
T30469,L10092,2010-07-08,Email,Phone,Neutral
T30470,L10092,2010-04-22,Meeting,In-person,No Response
T30471,L10093,2010-03-26,Call,In-person,No Response
T30472,L10093,2010-04-06,Meeting,In-person,Neutral
T30473,L10093,2010-03-15,Call,Phone,Neutral
T30474,L10093,2010-03-15,Call,Phone,Neutral
T30475,L10094,2010-05-08,Call,Email,Positive
T30476,L10094,2010-03-11,Website Visit,Phone,No Response
T30477,L10094,2010-04-15,Demo,Phone,Neutral
T30478,L10094,2010-05-12,Website Visit,LinkedIn,Neutral
T30479,L10094,2010-06-24,Call,Phone,Negative
T30480,L10094,2010-05-02,Email,In-person,No Response
T30481,L10094,2010-06-08,Meeting,In-person,No Response
T30482,L10094,2010-06-13,Meeting,Phone,No Response
T30483,L10095,2010-04-04,Call,LinkedIn,Negative
T30484,L10095,2010-06-09,Call,LinkedIn,No Response
T30485,L10096,2010-04-05,Demo,LinkedIn,Neutral
T30486,L10097,2010-05-15,Meeting,Email,Neutral
T30487,L10097,2010-04-01,Call,LinkedIn,Negative
T30488,L10097,2010-07-03,Website Visit,Phone,Negative
T30489,L10097,2010-04-21,Call,Phone,Positive
T30490,L10097,2010-05-06,Call,LinkedIn,Positive
T30491,L10097,2010-05-28,Website Visit,Phone,Positive
T30492,L10098,2010-04-21,Demo,Email,Positive
T30493,L10098,2010-05-25,Meeting,In-person,Positive
T30494,L10098,2010-04-13,Call,Email,Neutral
T30495,L10099,2010-06-30,Website Visit,Phone,Neutral
T30496,L10099,2010-03-27,Email,Email,No Response
T30497,L10099,2010-07-03,Meeting,Email,Positive
T30498,L10099,2010-07-07,Demo,Email,Positive
T30499,L10099,2010-04-14,Email,LinkedIn,No Response
